港澳頻道,#genre#
PopC,http://aktv_stream.m16tv.cfd/stream/aktv2/popc/AKTV.m3u8
ROCK Action,http://aktv_stream.m16tv.cfd/stream/aktv2/rockaction/AKTV.m3u8
tvN,http://aktv_stream.m16tv.cfd/stream/aktv2/tvn/AKTV.m3u8
明珠台,http://aktv_stream.m16tv.cfd/stream/aktv2/null-3/AKTV.m3u8
無線新聞台,http://aktv_stream.m16tv.cfd/stream/aktv2/null-4/AKTV.m3u8
美亞電影台(HK),http://aktv_stream.m16tv.cfd/stream/aktv2/hk/AKTV.m3u8
翡翠台,http://aktv_stream.m16tv.cfd/stream/aktv2/null/AKTV.m3u8
鳳凰中文,http://aktv_stream.m16tv.cfd/stream/aktv2/null-1/AKTV.m3u8
鳳凰資訊,http://aktv_stream.m16tv.cfd/stream/aktv2/null-2/AKTV.m3u8
鳳凰香港,http://aktv_stream.m16tv.cfd/stream/aktv2/null-5/AKTV.m3u8
TVBS新聞,http://aktv_stream.m16tv.cfd/stream/aktv3/tvbs/AKTV.m3u8
緯來體育,http://aktv_stream.m16tv.cfd/stream/aktv5/null/AKTV.m3u8
中天新聞台,http://aktv_stream.m16tv.cfd/stream/yt/null/AKTV.m3u8


Tonton,#genre#
TV1,http://175.139.229.4:19981/stream/channelid/1784379294?profile=pass
TV2,http://175.139.229.4:19981/stream/channelid/352843799?profile=pass
TV3,http://175.139.229.4:19981/stream/channelid/1023815456?profile=pass
NTV7,http://175.139.229.4:19981/stream/channelid/940997854?profile=pass
8TV,http://175.139.229.4:19981/stream/channelid/1152516720?profile=pass
TV9,http://175.139.229.4:19981/stream/channelid/1798720844?profile=pass
TV Okey,http://175.139.229.4:19981/stream/channelid/1868151189?profile=pass
Sukan RTM,http://175.139.229.4:19981/stream/channelid/942382963?profile=pass
TV6,http://175.139.229.4:19981/stream/channelid/673302861?profile=pass
BERNAMA,http://175.139.229.4:19981/stream/channelid/263535450?profile=pass
TVS,http://175.139.229.4:19981/stream/channelid/2026983653?profile=pass
BES,http://175.139.229.4:19981/stream/channelid/276958679?profile=pass



極速港台,#genre#
大灣區衛視1,http://goo.bkpcp.top/mg/dwqws
TVB星河頻道,http://go1.bkpcp.top/tl/null-7
無線華劇台,http://go1.bkpcp.top/tl/null-2
無線亞綜台,http://go1.bkpcp.top/tl/null-3
無線娛樂台,http://go1.bkpcp.top/tl/null-4
無線新聞台,http://go1.bkpcp.top/tl/null-11
無線明珠台,http://go1.bkpcp.top/tl/null-12
無線娛樂新聞台,http://go1.bkpcp.top/tl/null-14
無線黃金華劇台,http://go1.bkpcp.top/tl/null-9
無線亞劇台,http://go1.bkpcp.top/tl/null-13
天映經典台,http://go1.bkpcp.top/tl/null-1
POPC台,http://go1.bkpcp.top/tl/popc
美亞電影台,http://go1.bkpcp.top/tl/null-5
大灣區衛視,http://jp1.jdiptv.cc/live/nfws.m3u8?kdstime=
AEC,http://php.jdshipin.com/smt.php?id=AEC
八度空間台,http://php.jdshipin.com/smt.php?id=TV8
千禧經典台,http://php.jdshipin.com/smt.php?id=Tvbclassic
TVB星河台,http://php.jdshipin.com/smt.php?id=Xinhe
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
華麗台,http://php.jdshipin.com/smt.php?id=Tvbjade
天映頻道台,http://php.jdshipin.com/smt.php?id=Celestial
歡喜台,http://php.jdshipin.com/smt.php?id=Huahee
全佳台,http://php.jdshipin.com/smt.php?id=Quanjia
愛奇藝,http://php.jdshipin.com/smt.php?id=Qiyi
天映經典台,http://php.jdshipin.com/smt.php?id=Celestial2
無線新聞台,http://php.jdshipin.com/smt.php?id=inews_twn
娛樂新聞台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
RIA,http://php.jdshipin.com/smt.php?id=Aodhd
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
華麗翡翠台,http://php.jdshipin.com/smt.php?id=Tvbjade
無線新聞台,http://php.jdshipin.com/smt.php?id=inews_twn
